Code,Area,Year,Income,Net additions,Persons per dwelling,Rent,Waiting_list,Income/Rent ratio
E09000032,Wandsworth,1999,18252.0,,,3182.92,2916,5.734357131187714
E09000033,Westminster,1999,22448.4,,,3046.6800000000003,7028,7.368151561699949
E09000001,City of London,2000,33259.200000000004,,,2887.04,787,11.520172910662826
E09000002,Barking and Dagenham,2000,19494.8,,,3298.88,1925,5.90952080706179
E09000003,Barnet,2000,14970.8,,,3417.44,5489,4.380706025562994
E09000004,Bexley,2000,16681.600000000002,,,3246.88,3592,5.137732222934017
E09000005,Brent,2000,18772.0,,,3241.6800000000003,12603,5.790824510747513
E09000006,Bromley,2000,10816.0,,,3348.28,3264,3.2303152663457055
E09000007,Camden,2000,23680.8,,,3284.32,5884,7.210259658011399
E09000008,Croydon,2000,18283.2,,,3663.92,6265,4.990065285268237
E09000009,Ealing,2000,19406.4,,,3257.8,7709,5.9569034317637675
E09000010,Enfield,2000,17659.2,,,3300.96,6001,5.349716446124764
E09000011,Greenwich,2000,16837.600000000002,,,3221.92,5473,5.225952227243384
E09000012,Hackney,2000,21788.0,,,3104.4,7011,7.018425460636515
E09000013,Hammersmith and Fulham,2000,22791.6,,,3019.64,4726,7.547787153435508
E09000014,Haringey,2000,17841.2,,,3142.36,9510,5.677643554525898
E09000015,Harrow,2000,17004.0,,,3368.56,2610,5.0478542760111145
E09000016,Havering,2000,9510.8,,,3239.08,1738,2.9362658532669768
E09000017,Hillingdon,2000,19666.4,,,3330.6,3656,5.904761904761905
E09000018,Hounslow,2000,20836.4,,,3484.5200000000004,5017,5.979704521713177
E09000019,Islington,2000,25433.2,,,3124.16,11590,8.14081225033289
E09000020,Kensington and Chelsea,2000,20716.8,,,2836.6,8206,7.303391384051329
E09000021,Kingston upon Thames,2000,17009.2,,,3206.32,3113,5.304897826792086
E09000022,Lambeth,2000,22094.8,,,2957.24,16220,7.471426059433797
E09000023,Lewisham,2000,18543.2,,,2970.76,9774,6.241904428496412
E09000024,Merton,2000,16962.399999999998,,,3322.8,3920,5.1048513302034415
E09000025,Newham,2000,18772.0,,,3323.84,9901,5.647684605757196
E09000026,Redbridge,2000,15953.6,,,3525.6,3555,4.525073746312684
E09000027,Richmond upon Thames,2000,18969.6,,,3143.4,4992,6.034739454094292
E09000028,Southwark,2000,22672.0,,,3027.44,5543,7.488835451734799
E09000029,Sutton,2000,16759.600000000002,,,3138.72,2154,5.339628893306827
E09000030,Tower Hamlets,2000,26488.8,,,3021.72,6751,8.766133195663397
E09000031,Waltham Forest,2000,16525.600000000002,,,3360.76,7476,4.917221104750117
E09000032,Wandsworth,2000,19962.8,,,3283.28,2441,6.080139372822299
