Code,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
E09000011,Greenwich,15548.0,16224.0,17108.0,16837.600000000002,17903.600000000002,18033.600000000002,19624.8,19962.8,22204.0,21470.8,23446.8,22422.399999999998,23660.0,25365.600000000002,23836.8,24174.8,24362.0,24273.600000000002,24273.600000000002,23290.8,25911.600000000002,25568.399999999998,23888.8,22958.0,28428.4,29577.6,29395.6,31808.4
E09000012,Hackney,20181.2,22588.8,22588.8,21788.0,22776.0,21788.0,23082.8,23883.600000000002,25625.600000000002,26925.6,25906.399999999998,28152.8,28423.2,30300.4,28485.6,27632.8,27237.6,26483.600000000002,26327.600000000002,27996.8,28173.6,28558.4,29894.8,30076.8,31616.0,36504.0,40679.6,41121.6
E09000013,Hammersmith and Fulham,20659.600000000002,20181.2,21964.8,22791.600000000002,24081.2,26202.8,26951.6,26863.2,26904.8,26904.8,28100.8,30669.6,30862.0,29962.4,31434.0,30404.4,28662.4,29712.8,29307.2,30711.2,31475.6,35932.0,31995.6,35510.799999999996,35750.0,37866.4,38641.200000000004,39967.200000000004
E09000014,Haringey,15600.0,14643.2,16972.8,17841.2,17612.399999999998,17924.399999999998,19063.2,19640.399999999998,20311.2,20992.399999999998,22490.0,22084.399999999998,22412.0,23920.0,22105.2,24356.8,25376.0,24107.2,24913.2,24070.8,23920.0,24341.2,25500.8,25880.399999999998,24627.2,25734.8,25417.600000000002,28626.0
E09000015,Harrow,15880.8,17576.0,17165.2,17004.0,18574.399999999998,19182.8,19203.600000000002,20956.0,20264.399999999998,20971.600000000002,20571.2,21642.399999999998,22053.2,18824.0,19437.600000000002,21179.600000000002,17295.2,16780.399999999998,19084.0,23920.0,21595.600000000002,21314.8,24731.2,21231.600000000002,24200.8,25802.399999999998,27606.8,30612.4
E09000016,Havering,10363.6,10847.199999999999,9386.0,9510.800000000001,9443.199999999999,9885.199999999999,11154.0,12194.0,18543.2,18590.0,19453.2,21049.600000000002,21361.600000000002,21574.8,21803.600000000002,21876.399999999998,22916.399999999998,22152.0,21788.0,24554.399999999998,23036.0,24315.2,27638.0,25833.600000000002,24913.2,26145.600000000002,32614.4,32900.4
E09000017,Hillingdon,18579.600000000002,19791.2,18844.8,19666.399999999998,21429.2,20950.8,22718.8,24564.8,25724.399999999998,23883.600000000002,27284.4,27627.6,27840.8,29109.6,28017.6,27913.6,29785.6,28345.2,28646.8,27487.2,27908.4,27710.8,28360.8,29894.8,29286.4,29603.6,31803.2,35843.6
E09000018,Hounslow,18132.399999999998,18371.600000000002,19500.0,20836.399999999998,20597.2,22063.600000000002,22958.0,23181.600000000002,24341.2,23181.600000000002,24913.2,24570.0,27289.6,27950.0,27898.0,27060.8,26057.2,27788.8,30149.6,30825.6,29926.0,29894.8,30955.6,30612.4,33914.4,32520.8,34881.6,37117.6
E09000019,Islington,21002.8,21320.0,23504.0,25433.2,26197.600000000002,30451.2,30357.6,27523.6,27450.8,29874.0,30550.0,32032.0,32630.0,31090.8,32791.200000000004,32978.4,33774.0,31990.4,32557.2,35230.0,34990.799999999996,34944.0,36498.799999999996,35874.799999999996,39187.200000000004,39774.799999999996,42042.0,44569.200000000004
E09000020,Kensington and Chelsea,16624.399999999998,18600.399999999998,18647.2,20716.8,21481.2,23030.8,22604.399999999998,21964.8,21668.399999999998,21678.8,23660.0,25339.600000000002,25558.0,26176.8,25818.0,26941.2,25901.2,24913.2,27003.6,25147.2,28054.0,28428.4,29114.8,29234.4,28194.4,31928.0,34122.4,36592.4
